职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
长春·南关·明珠,运维工程师,4000-6000元,运维,经验不限,大专,吉林省信启工程技术服务有限公司,"其它
         
          20-99人
         
          建筑设计"
张掖·甘州区·东街街道,新岗位 新模式 早九晚六 周末双休 社区金融 大平台有发展,6000-12000元,,经验不限,大专,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
中山·石岐街道,包赚12万一年~天虹超市采购送货配送+可兼职日结可全职,8000-10000元·13薪,,经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
上海·杨浦·五角场,董事长助理,1-1.5万,"行政管理
文秘
茶艺
集团公司
英语",3-5年,本科,上海禹桐科技有限公司,"民营
         
          20人以下
         
          企业服务"
苏州·吴中·木渎,控制硬件工程师,1.5-2万·13薪,"外围电路
主控板
多层板",3-5年,本科,中科纳微真空科技(合肥)有限公司,"民营
         
          100-299人
         
          通用设备制造"
绍兴·越城区·斗门街道,3d打印售后工程师,4000-8000元,,经验不限,学历不限,宁波星旭增材制造有限公司,"其它
         
          20-99人
         
          新材料"
大连·沙河口·西安路,销售实习生及办事员出差底薪8000元/月+提成,8000-13000元,大客户销售,1年以下,中专/中技,大连双龙泵业集团有限公司,"民营
         
          500-999人
         
          通用设备制造"
郑州·金水·祭城路,电话邀约专员,1-2万,"电话邀约
电话销售
客服",经验不限,学历不限,河南酒投酒业发展集团有限公司,"股份制企业
         
          100-299人
         
          烟草/酒业"
佛山·禅城·张槎,奶茶商超日结300/80单完成/包吃住车,8000-10000元·13薪,,经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
济南·章丘·双山,【日结】章丘和谐广场必胜客招募兼职服务员(过年供班)/J16521,1500-3000元,"中餐厅
西餐厅
连锁品牌
全勤奖金
免费工装
节日福利
节假日三薪
免费培训",经验不限,学历不限,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
苏州·常熟·古里,安全性设计师,1.4-2.8万,"航空器
AutoCAD
CAXA
飞机性能设计
机身设计
机翼设计
螺旋桨设计
飞机系统安全",经验不限,本科,苏州随飞科技有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
青岛·市南·湛山,餐饮主管/领班（小倩倩馄饨）,4000-6000元,"中餐厅
快餐",1-3年,高中,青岛市小倩倩快餐食品有限公司,"民营
         
          100-299人
         
          餐饮服务"
郑州·中原·石佛,招聘经理,1-1.5万,"社会招聘
职能岗位招聘",5-10年,大专,贵州有盼头科技有限公司,"民营
         
          100-299人
         
          互联网"
湛江·赤坎区·南桥街道,送餐送菜日结，提供车住，无门槛，当天上岗+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,7000-8000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
青岛·城阳·城阳街道,食品厂维修电工（城阳区）,4000-8000元,"电子维修
电路维修
电器维修
电子仪器维修
特种作业操作证 （电工）
低压电工证",1-3年,大专,青岛市小倩倩快餐食品有限公司,"民营
         
          100-299人
         
          餐饮服务"
杭州·拱墅·祥符,追觅科技 | 智能家电门店导购8K起五险一金,8000-12000元,"数码店
3C数码导购
智能家电导购
五险一金",1年以下,学历不限,江西辰鸿人力资源有限公司,"500-999人
         
          人力资源服务"
苏州·相城·元和,机械销售,1-2万,"企业客户
面销/陌拜
区域销售",1-3年,大专,苏州市海得勒数控机床有限公司,"民营
         
          20-99人
         
          金属制品业"
徐州·泉山区·永安街道,小学英语教师,5000-8000元,"小学教育
线下授课",1-3年,本科,徐州市泉山区昂文教育培训中心有限公司,"民营
         
          20-99人
         
          培训/辅导服务"
无锡·锡山·锡北,设备维修员,6000-8000元,生产设备,1-3年,本科,江苏知原药业股份有限公司,"股份制企业
         
          500-999人
         
          医药制造"
北京·怀柔·杨宋,车间硫化工,8000-11000元,,经验不限,学历不限,中辉智造(天津)企业管理咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
天津·滨海新区·杭州道,一汽丰田8000+五险一金包食宿班车普工/操作工,7000-8000元,"普工
操作工",经验不限,学历不限,天津伯众之家企业管理有限公司,"股份制企业
         
          1000-9999人
         
          人力资源服务"
郑州·金水·祭城路,央企招聘文员+五险一金+双休,8000-10000元·13薪,"资料管理
后勤管理
考勤管理",经验不限,大专,几何(郑州)服务外包有限公司,"股份制企业
         
          500-999人
         
          社团/组织/社会保障"
成都·武侯·桂溪,SN1 电话销售 月入2万 周休2天 入职五险一金,8000-12000元,"企业客户
个人客户
电话销售",经验不限,高中,北京互联众信网络技术有限公司,"民营
         
          500-999人
         
          电子商务"
郑州·二七区·淮河路,产品直播主播,4000-6000元,"露脸
酒店洗浴耗材用品
抖音
快手
小红书",1-3年,大专,河南麒元日用品有限公司,"民营
         
          100-299人
         
          日化产品制造"
西安·长安·郭杜,全职骑手,1-1.1万,外卖站,经验不限,学历不限,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
聊城·东昌府区·湖西街道,聊城民生壹号广场必胜客新店服务员-J16385,2000-2500元,"西餐厅
奶茶店
咖啡店
免费工装
节日福利",经验不限,学历不限,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
武汉·江汉·经开区,工作不好找/送餐很容易300/天,1-1.2万,送餐员,经验不限,学历不限,武汉立速直达物流配送有限公司,"其它
         
          100-299人
         
          零售/批发"
西安·灞桥·十里铺,赵一鸣零食配送,9000-10000元,外卖站,经验不限,学历不限,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
阜阳·颍州区·王店镇,急招网格员 早九晚六 周末双休 不陌拜 客户就在家门口,6000-12000元,,经验不限,大专,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
郑州·金水·未来路,设计营销,4000-5000元,"PS
印刷广告
新媒体广告
媒体广告",经验不限,大专,郑州百帮文化产业有限公司,"股份制企业
         
          20-99人
         
          培训/辅导服务"
西安·未央·三桥,工资秒到账,1-1.1万,外卖站,经验不限,学历不限,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
临沂·兰山·兰山街道,临沂市兰山区急招骑手待遇超好,7000-8000元,"公司提供电动车/摩托车
餐饮外卖
酒水饮料
短距配送
派单
0元入职",无经验,学历不限,日照大迈餐饮配送有限公司,"民营
         
          100-299人
         
          餐饮服务"
泰州·高港区·口岸街道,招聘普工/操作工 月入7000（包吃住 日结）,6000-7000元,做六休一,经验不限,学历不限,泰州市惠正人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
深圳·罗湖·东湖,小象超市免车电,9000-13000元,"电动车
食品健康证
生鲜
生活日用
按区域配送
无犯罪记录",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
滨州·博兴县·锦秋街道,滨州必胜客餐厅服务员-J15674,2000-2500元,"西餐厅
奶茶店
咖啡店
免费工装
节日福利",经验不限,学历不限,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
天津·南开·嘉陵道,消防工程项目经理,8000-9000元,消防施工,1年以下,大专,天津市兴润消防工程有限公司,"民营
         
          20-99人
         
          工程施工"
西安·新城·徐家湾,超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
泸州·江阳区·北城街道,诚招普工/操作工-月入5000（包住-步行10分钟内）,4000-5000元,"社会保险
厂内食堂
包住
两班倒
做六休一
月休四天
月结",无经验,初中及以下,四川同创凯宏人力资源管理有限公司,"民营
         
          500-999人
         
          人力资源服务"
嘉兴·秀洲区·王店镇,圆通速递设备主管（8-12k 包吃包住 五险一金）,8000-12000元,"维修保养
电气设备
电工证
特种作业操作证",经验不限,本科,圆通速递有限公司,"上市公司
         
          10000人以上
         
          邮政/快递"
盐城·大丰区,市场营销岗,面议,"市场营销
汽车行业
市场调研",3-5年,本科,中国汽车技术研究中心有限公司,"国企
         
          1000-9999人
         
          汽车研发/制造"
上海·浦东·洋泾,商务前台,7000-8000元,"写字楼
全白班
五险一金
周末双休",3-5年,大专,成都市锦江投资发展集团有限责任公司,"国企
         
          500-999人
         
          政府/公共事业"
玉林·北流市·民乐镇,法务主管/法务经理,7000-11000元,"债权债务
合同事务
劳动纠纷",3-5年,大专,北流市国瑞环保科技有限公司,"民营
         
          100-299人
         
          专用设备制造"
万宁·万城镇,招商经理,1-1.2万,,3-5年,本科,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
北京·东城·东华门,财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
佛山·三水·乐平,高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
惠州·惠阳区·新圩镇,年前短期工七千包吃住/长白班独立岗位,6000-7000元,"包吃包住
带薪培训
可预支薪水
吃住免费可带手机
报销车费不查纹身案底染发
可招大龄工",无经验,学历不限,东莞市启恒人力资源有限公司,"事业单位
         
          20-99人
         
          人力资源服务"
杭州·拱墅·祥符,车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
广州·从化·人民街道,只送一家店，不跑远，日薪350/天，提供吃住车+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,300-500元/天,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
齐齐哈尔·建华区·西大桥街道,美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
宁波·海曙·鼓楼,不销售纯提醒双休客服（8K）+小白+五险一金,8000-13000元,"电话催收
司法催收
网络催收
M3催收",经验不限,高中,上海迪扬信息科技有限公司,"民营
         
          1000-9999人
         
          银行"
湛江·赤坎区·民主街道,急招果蔬配送员/日均100单/+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,7000-8000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
株洲·天元区·马家河街道,项目管理（年薪9-12万）,6000-8000元·13薪,,1-3年,本科,湖南潇湘人力资源服务有限公司,"股份制企业
         
          20-99人
         
          人力资源服务"
武汉·江夏·豹澥,新媒体运营（c端）,7000-9000元,"短视频平台
抖音
快手
微信视频号
医疗类
美妆类
短视频运营",3-5年,大专,新北辰(湖北)生物科技集团有限公司,"民营
         
          20-99人
         
          生物工程"
南宁·青秀·伶俐,招聘普工/操作工-五险一金-有餐补,5000-6000元,"社会保险
恒温车间
包住
月休四天
月结
包装工
操作工
组装工
身体健康",经验不限,学历不限,广西喜达多人力资源管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
天津·西青·大寺,电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
长沙·岳麓·望城坡,时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
南京·浦口·顶山,景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
天津·东丽·新立,华为新工厂日结300/天/坐岗/长白班/贴标签/装扣卡+五险一金,7000-8000元,"厂内食堂
恒温车间
包住
做六休一
日结
操作工
普工",经验不限,学历不限,天津津宏恒业企业管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
广州·番禺·钟村,钟村急招办公室销售/无责底薪/不加班,9000-12000元,"面销/陌拜
门店销售
网络销售",经验不限,学历不限,广州鲜链速送配送服务有限公司,"300-499人
         
          货运/物流/仓储"
潜江市·园林街道,乐道汽车-城市负责人,1.2-1.6万,"面销/陌拜
渠道销售
代理商销售
个人客户",5-10年,大专,上海蔚来汽车有限公司,"上市公司
         
          10000人以上
         
          新能源汽车"
西安·长安·郭杜,急招！日350/天+小物件+活不累,8000-12000元,"就近安排
无需经验
0费用入职",经验不限,学历不限,陕西城市袋鼠网络科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
广州·番禺·石壁,销售工程师,6000-10000元,"企业客户
区域销售",1-3年,大专,北京翰林航宇科技发展股份公司,"民营
         
          500-999人
         
          医疗设备/器械"
上海·长宁·虹桥,HD 无责底薪7.1k 免费住宿 七险一金 周末双休,1.5-2.5万,"个人客户
企业客户
电话销售",无经验,中专/中技,北京互联众信网络技术有限公司,"民营
         
          500-999人
         
          电子商务"
西安·灞桥·新合,月入8000+可预支工资,8000-12000元,"0费用入职
无需经验
就近安排",经验不限,学历不限,陕西城市袋鼠网络科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
郑州·金水·祭城路,销售客服/早九晚六不加班！,9000-15000元,,经验不限,学历不限,河南盛世鸿大网络科技集团有限公司,"民营
         
          20-99人
         
          电子商务"
西安·碑林·文艺路,固定门店配送员300一天,5000-10000元,"无驾照要求
食品饮料
生活日用
生鲜
按区域配送
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,陕西盛世博雅餐饮管理有限公司,"其它
         
          20-99人
         
          货运/物流/仓储"
西安·灞桥·十里铺,月入8000+ 可预支 +提供食宿,8000-12000元,"就近安排
无需经验
当天面试当天上岗",经验不限,学历不限,陕西城市袋鼠网络科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
惠州·惠城区·桥西街道,送蔬菜水果月薪8K起/提供车住,8000-10000元,"只送一个门店生鲜
每天60-120单，系统派单
连锁门店，全深圳就近安排
会导航会开电动车就行
提供吃住
包住
可预支薪水
高温补贴
节日福利
底薪加提成",无经验,学历不限,深圳市大棕熊同城配送有限公司,"其它
         
          20-99人
         
          货运/物流/仓储"
上海·宝山·杨行,上位机软件开发工程师,1.5-3万·13薪,"C#
上位机软件
WPF
Winform
图形图像界面处理
串口通讯
OpenCV",3-5年,本科,上海渺知科技有限公司,"其它
         
          20-99人
         
          仪器仪表制造"
福州·闽侯·上街,急招过年值班骑手/保底7000+ 冬季运力补贴+可预支工资,7000-10000元,"公司提供电动车/摩托车
自带电动车/摩托车
无驾照要求
餐饮外卖
酒水饮料
生鲜蔬果
会骑电动车
熟练使用导航
饿了么
美团",经验不限,学历不限,北京乐信韵达货运代理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
无锡·新吴·旺庄,单证制作专员(J10054),5000-7000元,报关行,经验不限,本科,上海泓明供应链,"民营
         
          500-999人
         
          货运/物流/仓储"
深圳·南山·桃源,实验室技术员,8000-10000元,,经验不限,硕士,深圳量视科技有限公司,"其它
         
          20-99人
         
          电子/半导体/集成电路"
西安·未央·建章路,电商运营经理,8000-12000元,"淘宝/天猫
京东
拼多多
店长
主管",1-3年,大专,陕西熊猫健康大药房连锁有限公司,"民营
         
          100-299人
         
          零售/批发"
银川·金凤区·北京中路街道,腾讯云智服用户服务专员（游戏）,4000-5000元,"网络客服
电话客服",经验不限,大专,腾讯云智服科技(重庆)有限公司,"1000-9999人
         
          互联网"
东莞·石排镇,招普工/操作工-月入7000（包住-储物柜）,6000-7000元,"体检免费
厂内食堂
包住
做六休一
长白班
月休四天
月结
包装工
组装工
检验员",经验不限,学历不限,东莞市昇达实业投资有限公司,"合资
         
          20-99人
         
          人力资源服务"
杭州·上城·四季青,理科教师,8000-13000元,线下授课,1-3年,本科,沈阳市百时教育培训中心,"民营
         
          1000-9999人
         
          培训/辅导服务"
成都·成华·龙潭,售前工程师,6000-10000元·14薪,,1-3年,大专,北京雷格讯电子股份有限公司,"民营
         
          100-299人
         
          电子/半导体/集成电路"
天津·和平·小白楼,坐席6-12k,6000-12000元,"电话客服
全白班
售后客服
售前客服",1-3年,大专,企运(天津)人力资源服务有限公司,"民营
         
          500-999人
         
          人力资源服务"
深圳·福田·福田街道,茶救星球（深圳）招聘21/时兼职调茶师,3000-4000元,"奶茶师
免费工装
健康证
轮班制",1年以下,学历不限,重庆善道人力资源有限公司,"民营
         
          100-299人
         
          咨询服务"
保定·竞秀·大马坊,万声集团管培生-未来人计划【26届本科】,4000-6000元,大学英语四级,经验不限,本科,万声通讯实业有限公司,"民营
         
          1000-9999人
         
          运营商/增值服务"
天津·和平·小白楼,客服专员,6000-12000元,"电话客服
全白班
售后客服
售前客服",经验不限,大专,企运(天津)人力资源服务有限公司,"民营
         
          500-999人
         
          人力资源服务"
武汉·汉阳·建桥,家门口就可安排外卖员直招,8000-10000元,"饿了么
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,武汉鑫阳通企业管理有限公司,"民营
         
          100-299人
         
          餐饮服务"
北京·朝阳·东湖,项目专员,6000-8000元,"招聘项目
BPO项目
RPO项目",1-3年,大专,君润优活科技(深圳)有限公司,"民营
         
          1000-9999人
         
          企业服务"
郑州·金水·东风路,急招临时工配送员一天一结/+可兼职日结可全职/+骑手/超市驻店/外卖配送员/送餐员,300-500元/天,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
天津·滨海新区·北塘,医疗垃圾运送员,3000-4000元,医院,经验不限,学历不限,天津摩瑞思房地产经营服务有限公司,"合资
         
          500-999人
         
          物业管理"
烟台·福山·福莱山,兼职会计,25元/时,,1-3年,大专,烟台美阳科技服务有限公司,"民营
         
          20-99人
         
          企业服务"
苏州·常熟·支塘,售后工程师,6000-8000元,"机械设备
自动化设备",1-3年,大专,常熟舒和机械设备有限公司,"民营
         
          20-99人
         
          工业自动化"
合肥·瑶海·长淮,销售工程师,6000-10000元,"全国
机械类
医药行业
企业客户
较多外勤",1-3年,大专,北京翰林航宇科技发展股份公司,"民营
         
          500-999人
         
          医疗设备/器械"
深圳·龙岗·南湾,保底9500/烟酒槟榄配送/免费车子/免费住宿,9000-15000元,"会骑电动车
按区域配送",经验不限,学历不限,深圳市小象即达网络科技有限公司,"民营
         
          500-999人
         
          人力资源服务"
武汉·江岸,送餐员底薪5800汉口站店直招,1-1.2万,"电动车
无驾照要求",经验不限,学历不限,武汉立速直达物流配送有限公司,"其它
         
          100-299人
         
          零售/批发"
苏州·昆山·玉山,保洁员,4000-5000元,,经验不限,学历不限,三多装饰(昆山)有限公司,"上市公司
         
          100-299人
         
          装饰装修"
成都·锦江·狮子山,急招！包吃住洗车工 锦江区川师店,3000-5000元,,经验不限,学历不限,成都星辉川汽车服务有限公司,"民营
         
          100-299人
         
          汽车4S店/经销商"
苏州·吴中·长桥,日结司机，年前过渡，不租不买,8000-10000元,"公司提供电车
C1驾照
C2驾照
2-3年驾龄",经验不限,学历不限,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
武汉·洪山·张家湾,酒店帮厨,4000-5000元,"切配工
打荷工
洗碗工
中餐厅
包吃包住",1-3年,中专/中技,重庆颂夏酒店有限公司,"民营
         
          20-99人
         
          酒店/民宿"
